UniprotAccession,Description,Globulins,PSMs,Abundance[S4],Abundance[S37],Abundance[S38],Abundance[S39],Abundance[S40],Abundance[S41],Abundance[S42],Abundance[S43],Abundance[S44],Abundance[S45],Found[S4],Found[S37],Found[S38],Found[S39],Found[S40],Found[S41],Found[S42],Found[S43],Found[S44],Found[S45],Gene
Q15084,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,0,298,9965504.385,4836722.532,2908364.363,12198922.7,5478659.035,4917260.797,7941425.579,3635275.086,9444511.725,5116298.316,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PDIA6
P13489,Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,0,235,127006356.8,9141311.149,2274228.251,12221221.11,7938419.212,9898006.853,4672018.891,7823423.362,7615165.029,8333265.211,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RNH1
Q15276,Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2,0,20,1461500.781,10604664.55,3286234.57,12228508.97,18386130.66,9100571.141,730702.4922,1755707.449,7744269.074,2095535.336,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RABEP1
Q01469,Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3,0,305,20458041.61,8529691.296,3717781.596,12260571.36,6347755.188,6202819.544,17966326.97,5825049.954,10113335.42,7928712.282,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FABP5
O94925,"Isoform 3 of Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS",0,67,3866515.438,1929158.199,1610084.654,12268347.41,5445003.663,3070396.375,1162484.957,4356138.521,2576127.191,2969713.865,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,GLS
Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,0,200,70600471.21,5144391.63,2540939.394,12301235.48,8026332.7,5534619.064,14664157.33,6483592.297,3185274.811,6877620.002,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HNRNPUL2
Q8N1F7,Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2,0,112,3329510.031,6586625.764,3937924.723,12317469.88,8150118.824,6176554.795,4977346.977,4075307.297,6030131.504,5775757.508,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NUP93
Q14008,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,0,96,2055166.078,2915704.498,4788106.498,12333687.89,7814961.461,4793482.941,2673033.813,7131483.168,8231809.52,4395878.226,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CKAP5
Q13642,Isoform 1 of Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1,0,155,4409308.859,6939754.102,2323173.959,12346684.99,3701021.992,4500632.426,52668424.63,4520486.277,7611363.913,3952461.84,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FHL1
Q9Y5S1,Transient receptor potential cation channel subfamily V member 2 OS=Homo sapiens OX=9606 GN=TRPV2 PE=1 SV=1,0,19,12054779.32,113342.1719,4074624.539,12352531.61,163773.7813,249437.2422,12676666.75,NA,2190427.906,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,TRPV2
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3",0,110,9957756.977,4578193.916,4936531.239,12363475.45,7054364.775,2423371.879,6809883.047,12290591.83,5037723.586,5352793.266,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NDUFS1
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,0,229,7952033.983,5429348.513,1649259.559,12389922.11,3506828.14,4703246.035,8751709.36,4193589.242,4056743.445,5439833.187,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,KTN1
Q06187,Tyrosine-protein kinase BTK OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=3,0,44,18893260.48,17600430.81,5909202.106,12408895.98,14923827.5,15837702.79,19487407.47,13400875.8,16741986.25,17684079.65,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,BTK
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,0,86,15328609.52,29128334.96,10240150.9,12421641.48,26912328.62,44901984.78,25138046.53,19855931.38,23558332.91,28367220.02,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RAD50
Q96RF0,Isoform 2 of Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18,0,25,4157279,8891108.14,4546468.743,12441169.58,8522838.5,8552717.84,3671202.938,8358407.047,7748014.049,9355887.445,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,SNX18
Q9NPH3,Interleukin-1 receptor accessory protein OS=Homo sapiens OX=9606 GN=IL1RAP PE=1 SV=2,0,167,145192924,1046408.732,1414045.323,12459300.95,4220390.92,1900963.708,4095468.074,2403011.736,2104297.85,2175226.033,High,High,Peak Found,High,High,High,High,Peak Found,High,Peak Found,IL1RAP
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,0,553,8130954.223,7769078.412,3138534.816,12553943.45,5963623.082,6345738.656,7118243.313,13018303.99,8258505.66,5704066.639,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,High,LDHA
Q9H845,"Complex I assembly factor ACAD9, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD9 PE=1 SV=1",0,76,25454209.09,1913474.82,1320779.424,12591429.54,3778188.672,3723038.434,26318364.16,4458877.375,2177313.496,2552038.168,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ACAD9
Q9NQ48,Leucine zipper transcription factor-like protein 1 OS=Homo sapiens OX=9606 GN=LZTFL1 PE=1 SV=1,0,13,15089678.96,36610032.53,13940459.38,12602051.45,31668867.44,56510025.19,20330727.35,31842890.17,51097165.83,40115960.93,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,LZTFL1
P40126,L-dopachrome tautomerase OS=Homo sapiens OX=9606 GN=DCT PE=1 SV=1,0,35,5645623.633,6648951.48,3455441.125,12618160.91,4412750.873,5529160.711,13192083.81,6535378.984,9951776.287,5794854.926,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,DCT
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,0,325,9613504.34,24172829.51,8122283.248,12641827.32,30208220.93,24225837.23,14867302.35,7895098.457,12556372.71,9484163.34,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HNRNPM
P55160,Nck-associated protein 1-like OS=Homo sapiens OX=9606 GN=NCKAP1L PE=1 SV=3,0,70,3251282.348,2091105.481,1356905.779,12659260.57,5229084.617,2386145.467,2308682.907,3792087.056,4944865.283,4018164.5,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NCKAP1L
P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,0,211,12716005.22,6608196.66,2615437.069,12677022.43,4293993.496,3985268.098,9584126.953,5492482.363,5107800.408,3526141.891,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,EEF1D
P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS PE=1 SV=5,0,227,7066722.213,4608783.189,1965604.067,12715427.74,5781617.025,7564334.967,30184963.28,5226440.219,6063826.418,4860017.01,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,EPRS
Q9Y3E1,Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens OX=9606 GN=HDGFL3 PE=1 SV=1,0,20,50051213.12,701296.8125,395041.3257,12718082.38,15787.35254,NA,553948.1875,731387.2344,465595.375,619593.375,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,HDGFL3
P05556,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,0,261,4252076.57,11891134.26,5671459.749,12776032.68,4227414.477,2464424.729,2083795.522,3366574.494,11495386.35,31544505.33,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,ITGB1
Q99961,Endophilin-A2 OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=1,0,43,2055256.355,2660962.453,5753630.648,12791127.67,1709577.477,1246957.121,1970690.039,2692975.269,1944275.821,1188208.75,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,SH3GL1
Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,0,18,1881739.438,3251490.008,141562.2676,12798822.94,2465073.211,4386387.859,6355434.563,2869564.934,3099621.625,3766854.484,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,WDR36
P10768,S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2,0,154,8096082.875,1124151.365,1214572.374,12841266.92,8549825.094,1874043.332,22568596.3,1220157.195,2204945.816,1269446.492,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ESD
Q00325,"Isoform B of Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3",0,221,4352424.764,4877874.25,4725293.931,12952616.34,6228060.438,3960365.293,3496792.83,3858732.943,4017631.457,4973653.927,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,SLC25A3
O14880,Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1,0,40,13735260.64,4995003.074,4070880.604,13050253.43,8820739.523,1165921.273,4768210.738,2520247.621,3064746.027,2248146.807,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MGST3
O95302,Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2,0,64,13098363.65,9459690.346,4179848.853,13089735.7,8470379.07,9193294.572,21221756.79,6388194.83,13546490.98,10150246.02,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FKBP9
Q9GZV4,Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens OX=9606 GN=EIF5A2 PE=1 SV=3,0,163,102421799.7,70484270.36,42691555.48,13119820.54,84522698.11,80865044.56,87067405.65,65948151.65,89751315.44,63282580.21,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,EIF5A2
Q9UL33,Trafficking protein particle complex subunit 2-like protein OS=Homo sapiens OX=9606 GN=TRAPPC2L PE=1 SV=1,0,5,7468460.68,5549384,1668378.961,13157969.25,7000309.109,5336479.5,7083951,4939912.375,10641724.5,5668336.77,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,TRAPPC2L
P61221,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,0,93,5028499.908,2689996.398,2429142.609,13226503.83,12070394.16,2356983.637,4812381.625,5720331.887,3889286.396,7928634.859,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ABCE1
P02794,Ferritin heavy chain OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=2,0,251,16846933.95,12006646.65,4698344.585,13237418.34,13163976.42,14678851.21,14924867.52,13812489.9,10359635.43,10818846.03,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FTH1
Q8WWM7,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2,0,29,16448895.64,14117723.76,16024772.81,13260608.31,25087404.59,11746150.65,18178148.64,27722086.36,21430111.38,14910806.65,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ATXN2L
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1",0,83,964227.8867,787388.8015,609143.7998,13342105.98,2802773.948,1902428.847,509587.5117,670753.615,687292.7646,384751.2407,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,IDH3A
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2CA PE=1 SV=1,0,53,4598790.711,2025246.883,2486030.539,13365367.95,2715920.406,1922602.059,74796196.43,2534430.36,2448638.258,1841413.086,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PPP2CA
P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Homo sapiens OX=9606 GN=PPP2CB PE=1 SV=1,0,66,9029275.367,2121458.656,2585412.133,13365367.95,5236146.656,2030494.121,78787333.36,2534430.36,2448638.258,4426559.586,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,High,Not Found,Not Found,Peak Found,PPP2CB
Q15366,Isoform 3 of Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2,0,190,1446035.649,404255.3174,1522968.518,13369511.3,320946.7969,746005.5547,541472.3398,716561.7344,4370761.624,1314322.527,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,PCBP2
Q8IXI2,Mitochondrial Rho GTPase 1 OS=Homo sapiens OX=9606 GN=RHOT1 PE=1 SV=2,0,26,1590896.938,6684012.453,2981253.883,13384975.81,7087766.219,9031968,2900849.48,7184858.703,14020842.7,6596360.5,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,RHOT1
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,0,77,9830085.016,2064923.58,6970742.512,13428775.27,2525568.285,399642.2676,11188200.07,439345.5391,1084345.578,497907.584,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PRKAR2A
Q9HAV0,Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens OX=9606 GN=GNB4 PE=1 SV=3,0,98,1886383.078,11161204.79,7703582.567,13475456.16,13746082.6,8868450.326,2355300.898,10397012.71,9123014.543,11271789.74,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,GNB4
P43121,Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,0,259,11948045.75,5570534.997,4591376.047,13513215.25,5728665.273,8343581.943,24564971.42,5000175.814,7847801.955,9956859.52,Peak Found,High,Peak Found,High,High,High,High,Peak Found,Peak Found,High,MCAM
P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DQB1 PE=1 SV=2",0,67,2324073.516,759891.1641,3291424.135,13537413.68,272943.2031,483300.6641,5726289.645,460630.707,1181730.609,524912.4756,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HLA-DQB1
P14927,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2,0,54,20339878.79,7655241.617,4313653.679,13538907.28,5673050.469,8881980.875,20317156.27,5051166.016,5790178.789,3150201.557,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,UQCRB
P61224,Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,0,213,4881546.473,2210594.734,1972177.877,13569610.16,3527405.078,1350193.801,3061969.945,1356332.094,3843702.391,2097206.793,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,RAP1B
Q9UJU6,Isoform 2 of Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL,0,123,13135685.76,7700999.906,4768775.34,13577074.45,11551521.69,12875720.14,1960945.848,6768382.377,8211289.219,11359412.95,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,DBNL
P49321,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,0,63,441368.6777,8395757.259,3389541.797,13583485.04,9262340.59,11836050.57,310942.875,1656642.164,2195230.164,1423920.621,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NASP
Q13765,Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1,0,63,6807015.563,7082849.574,3060485.799,13594633.59,6666283.52,6411630.996,6903934.984,7600367.66,9643382.969,6449710.205,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NACA
P23946,Chymase OS=Homo sapiens OX=9606 GN=CMA1 PE=1 SV=1,0,116,3084547.371,2880084.074,1968785.063,13607841.82,1172901.209,2275714.299,3795663.43,1692914.586,1501701.33,1129352.438,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CMA1
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3",0,216,10418870.56,9361775.756,5089839.03,13675128.67,17442482.63,18805237.87,21777491.36,6306609.4,9790023.242,11204093.26,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,OGDH
Q86XI8,Uncharacterized protein ZSWIM9 OS=Homo sapiens OX=9606 GN=ZSWIM9 PE=1 SV=2,0,25,6136693.297,2800585.992,1621989.016,13682629.1,2864417.102,4357250.961,10250963.13,9545550,10728355.04,3880745.953,High,High,High,High,High,High,High,High,High,High,ZSWIM9
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,0,788,16377762.7,9671093.711,6701231.298,13697880.12,18249471.53,15138067.42,12220634.41,8978231.556,6825297.974,6559666.75,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,TUBB6
P60866,40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,0,109,460973.4609,6727484.594,3237220.366,13730499.22,8191811.094,18815367.49,418248.5,7299560.559,10748746.02,8023023.389,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RPS20
O14786,Neuropilin-1 OS=Homo sapiens OX=9606 GN=NRP1 PE=1 SV=3,0,100,9534818.113,8834708.235,4706197.419,13745026.66,10878614.99,7992391.152,17276838.52,11208818.8,11066766.38,17181829.37,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NRP1
Q9H0D6,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,0,59,14676668.49,1888338.994,1563094.587,13787944.66,11362785.41,3461216.438,3599019.668,10199129.33,2611689.414,6304001.98,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,XRN2
Q9P289,Serine/threonine-protein kinase 26 OS=Homo sapiens OX=9606 GN=STK26 PE=1 SV=2,0,32,354628.6563,7990978.541,5173911.868,13808385.81,8685306.625,10235572.49,2037222.391,322311.4004,799396.082,133990.7441,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,STK26
P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,0,54,1243423.008,3716236.563,2441060.268,13844913.94,1486979.217,236608.4082,1596637.043,1237062.121,5322672.969,1147313.832,High,High,High,High,High,Peak Found,High,High,High,High,ITGA2B
Q14767,Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3,0,31,7309906.344,2586717.305,4492344.189,13847019.35,7200049.584,3483395.426,14275899.66,7617135.605,4708289.572,3595560.417,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,LTBP2
P50452,Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2,0,58,3108128.127,3885140.018,1810103.494,13906252.2,3111450.172,1476017.098,3241148.211,1615358.57,5745300.813,1836292.51,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,SERPINB8
P16581,E-selectin OS=Homo sapiens OX=9606 GN=SELE PE=1 SV=1,0,75,1325036.207,9593130.16,1873925.869,13927342,8000532.121,8454516.43,2180878.535,7246041.338,7579122.227,8042116.529,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,SELE
O00148,ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,0,202,23626811.45,13281675.12,6109936.605,13934163.23,20637577.46,14459367.82,15824516.8,23732837.54,14409471.05,18442361.77,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,DDX39A
P61026,Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,0,87,10715029.57,8333956.342,5601431.124,13988075.68,5621115.06,6842178.377,11699023.73,10110676.25,6470307.399,5582607.231,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RAB10
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,0,290,26119797.61,8424800.997,3284442.09,13993722.89,9976062.135,7340282.252,11530409.98,6750760.062,8745837.103,11051812.62,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HYOU1
P04439,"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",0,174,438929291.2,34775425.06,9350803.064,14012587.46,35593549.05,29825393.43,495406876.3,27626871.2,59668478.57,19435275.99,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,HLA-A
Q14005,Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4,0,66,12933448.81,7284830.512,4003678.029,14047794.17,5989545.119,9114798.387,9952155.484,4499760.549,3978111.613,6305596.266,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,IL16
O60437,Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=4,0,112,7278441.02,8304545.699,3613924.636,14074120.98,18551954.11,10786369.24,5861056.609,9340029.595,8848708.433,12411181.92,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PPL
P81605,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,0,34,11723157.67,9238753.582,5335980.885,14155767.5,10614258.65,27150980.52,6238638.844,10093258.5,6577342.17,5086322.406,High,High,Peak Found,High,High,High,High,High,High,Peak Found,DCD
P16152,Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,0,234,46840206.04,5359239.792,4948627.708,14165137.43,6141077.574,7571390.571,71851682.57,7535039.791,7650840.174,5516233.431,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CBR1
P51148,Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2,0,134,4672223.996,5571679.098,2446479.161,14183605.01,9978301.34,4641702.217,11442902.73,5229900.602,12119895.26,4618243.154,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RAB5C
Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2 OS=Homo sapiens OX=9606 GN=ATP6V0A2 PE=1 SV=2,0,10,249984.5137,303429.0625,389845.6523,14187734.48,182404.6094,654450.6826,137729.5059,311754.627,1547171.629,273976.9531,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ATP6V0A2
Q4L180,Filamin A-interacting protein 1-like OS=Homo sapiens OX=9606 GN=FILIP1L PE=1 SV=2,0,4,9732690,5988787,4930899,14256738,8440865,5847498.5,4634403,4955957,8453813,7171326,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FILIP1L
O43747,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,0,59,5167143.227,5284969.668,2506321.959,14260306.77,674884.9678,5732089.248,5571105.211,1316289.969,4866685.766,411004.3091,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,AP1G1
A0A0B4J1V2,Immunoglobulin heavy variable 2-26 OS=Homo sapiens OX=9606 GN=IGHV2-26 PE=3 SV=1,1,49,4518512.961,3326938.521,3823357.043,14262008.88,10915764.02,5316995.193,7343054.969,4293285.779,6063507.758,6277670.506,High,High,High,High,High,High,High,High,High,High,IGHV2-26
